Player;P;Age;Salary;GP;G;GA;PlusMin;NHL
Blake Comeau;RW;21;0,38;51;8;7;1;15
Bobby Allen;D;29;0,5;19;0;0;-2;0
Bobby Holik;C;37;4,25;82;15;19;-14;34
Bobby Ryan;RW;20;0,61;23;5;5;-1;10
Boris Valabik;D;21;0,1;7;0;0;-2;0
Boyd Devereaux;C;29;0,55;62;7;11;-6;18
Boyd Gordon;C;24;0,65;67;7;9;5;16
Brad Boyes;C;25;1,6;82;43;22;1;65
Brad Isbister;LW;30;0,52;55;6;5;-4;11
Brad Larsen;LW;30;0,51;62;1;3;-17;4
Brad Lukowich;D;31;1,25;59;1;6;-15;7
Brad May;LW;36;0,6;61;3;1;2;4
Brad Richards;C;27;7,8;74;20;42;-27;62
Brad Richardson;C;22;0,3;22;2;3;-3;5
Brad Stuart;D;28;3,5;72;6;17;-10;23
Brad Winchester;LW;26;0,48;41;1;2;-9;3
Brady Murray;LW;23;0,07;4;1;0;-2;1
Brandon Bochenski;RW;25;0,6;40;3;10;6;13
Brandon Dubinsky;C;21;0,64;82;14;26;8;40
Brandon Nolan;LW;24;0,04;6;0;1;-2;1
Branislav Mezei;D;27;0,85;57;2;2;-13;4
Branko Radivojevic;RW;27;0,68;73;7;10;-14;17
Braydon Coburn;D;22;0,94;78;9;27;17;36
Brendan Bell;D;24;0,06;2;0;0;-2;0
Brendan Morrison;C;32;3,2;39;9;16;-3;25
Brendan Shanahan;LW;38;2,5;73;23;23;-2;46
Brendan Witt;D;32;2,8;59;2;5;-8;7
Brenden Morrow;LW;28;4,1;82;32;42;23;74
Brent Burns;D;22;0,88;82;15;28;12;43
Brent Johnson;G;30;0,8;19;0;0;0;0
Brent Seabrook;D;22;0,94;82;9;23;13;32
Brent Sopel;D;30;1,5;58;1;19;9;20
Bret Hedican;D;37;2,43;66;2;15;17;17
Brett Clark;D;31;1,5;57;5;16;5;21
Brett Lebda;D;25;0,55;78;3;11;-1;14
Brett McLean;C;29;1,7;67;14;23;-5;37
Brett Sterling;LW;23;0,12;13;1;2;-2;3
Brian Boucher;G;30;0,11;5;0;0;0;0
Brian Boyle;C;23;0,07;8;4;1;4;5
Brian Campbell;D;28;1,75;83;8;54;8;62
Brian Elliott;G;22;0,06;1;0;0;0;0
Brian Gionta;RW;28;4;82;22;31;1;53
Brian Lee;D;20;0,09;6;0;1;1;1
Brian McGrattan;RW;26;0,55;38;0;3;0;3
Brian Pothier;D;30;2,5;38;5;9;5;14
Brian Rafalski;D;34;6;73;13;42;27;55
Brian Rolston;LW;34;2,43;81;31;28;-1;59
Brian Sutherby;C;25;0,8;50;1;1;-4;2
Brian Willsie;RW;29;0,9;53;4;8;-8;12
Brooks Laich;C;24;0,72;82;21;16;-3;37
Brooks Orpik;D;27;1,07;78;1;10;11;11
Bruno Gervais;D;23;0,48;60;0;13;-5;13
Bryan Allen;D;27;2,25;73;2;14;5;16
Bryan Berard;D;30;0,7;54;5;17;-17;22
Bryan Bickell;LW;21;0,03;4;0;0;-1;0
Bryan Little;C;20;0,53;48;6;10;-2;16
Bryan McCabe;D;32;7,15;54;5;18;-2;23
Bryan Smolinski;C;36;2;64;8;17;-6;25
Bryan Young;D;21;0,01;2;0;0;-1;0
Bryce Salvador;D;31;1,5;64;1;10;12;11
Byron Ritchie;C;30;0,68;71;3;8;-10;11
Cal Clutterbuck;RW;20;0,04;2;0;0;0;0
Cam Barker;D;21;1,6;45;6;12;-3;18
Cam Janssen;RW;23;0,55;12;0;1;-1;1
Cam Ward;G;23;2;69;0;1;0;1
Carey Price;G;20;1,88;41;0;2;0;2
Carlo Colaiacovo;D;24;1,05;28;2;4;-4;6
Casey Borer;D;22;0,07;11;1;2;-3;3
Clarke MacArthur;LW;22;0,32;37;8;7;3;15
Claude Giroux;C;19;0,03;2;0;0;-2;0
Clay Wilson;D;24;0,06;7;1;1;3;2
Cody Bass;C;20;0,3;21;2;2;-1;4
Cody McCormick;RW;24;0,38;40;2;2;5;4
