"";"P";"Player";"Age";"Salary";"GP";"G";"GA";"PlusMin";"NHL"
"432";"C";"Johan Franzen";28;0,9;72;27;11;12;38
"433";"G";"Johan Hedberg";34;1,15;36;0;1;0;1
"434";"G";"Johan Holmqvist";29;1;47;0;1;0;1
"435";"D";"John-Michael Liles";27;1,4;81;6;26;2;32
"436";"D";"John Erskine";27;0,52;51;2;7;1;9
"437";"G";"John Grahame";32;1,27;17;0;1;0;1
"438";"C";"John Madden";34;2,92;80;20;23;1;43
"439";"C";"John Pohl";28;0,48;33;1;4;-4;5
"440";"RW";"John Zeiler";25;0,36;36;0;1;-6;1
"441";"D";"Johnny Boychuk";23;0,07;4;0;0;1;0
"442";"D";"Johnny Oduya";26;0,6;75;6;20;27;26
"443";"LW";"Jon ""Bates"" Battaglia";32;0,27;13;0;0;-6;0
"444";"D";"Jon Klemm";37;0,19;22;0;0;-5;0
"445";"G";"Jon Quick";21;0,07;3;0;0;0;0
"446";"LW";"Jon Sim";30;1;2;0;1;-1;1
"447";"G";"Jonas Hiller";25;2,81;23;0;1;0;1
"448";"G";"Jonathan Bernier";19;0,06;4;0;0;0;0
"449";"RW";"Jonathan Cheechoo";27;2,5;69;23;14;11;37
"450";"D";"Jonathan Ericsson";23;0,05;8;1;0;-3;1
"451";"RW";"Jonathan Filewich";23;0,05;5;0;0;-2;0
"452";"C";"Jonathan Toews";19;2,8;64;24;30;11;54
"453";"D";"Joni Pitkanen";24;2,4;63;8;18;-5;26
"454";"D";"Jordan Hendry";23;0,22;40;1;3;0;4
"455";"LW";"Jordan LaVallee-Smotherman";21;0,01;2;1;1;2;2
"456";"D";"Jordan Leopold";27;1,5;43;5;8;5;13
"457";"C";"Jordan Staal";19;2,2;82;12;16;-5;28
"458";"RW";"Jordin Tootoo";24;0,7;63;11;7;-8;18
"459";"G";"Jose Theodore";31;6;53;0;2;0;2
"460";"C";"Josef Vasicek";27;0,75;81;16;19;1;35
"461";"D";"Josh Gorges";23;0,5;62;0;9;0;9
"462";"LW";"Josh Gratton";25;0,12;1;0;0;1;0
"463";"G";"Josh Harding";23;0,7;29;0;1;0;1
"464";"C";"Josh Hennessy";22;0,03;5;0;0;-1;0
"465";"RW";"Josh Langfeld";30;0,01;2;0;0;0;0
"466";"C";"Jozef Stumpel";35;2,25;52;7;13;-11;20
"467";"RW";"Junior Lessard";27;0,12;21;1;1;-6;2
"468";"C";"Jussi Jokinen";24;1,75;72;16;26;-14;42
"469";"LW";"Justin Abdelkader";20;NA;2;0;0;0;0
"470";"RW";"Justin Williams";26;3,5;37;9;21;2;30
"471";"C";"Kamil Kreps";23;0,46;76;8;17;10;25
"472";"D";"Karel Rachunek";28;1,4;47;4;9;3;13
"473";"G";"Kari Lehtonen";24;2,2;48;0;2;0;2
"474";"LW";"Karl Stewart";24;0,08;9;0;0;-2;0
"475";"D";"Karlis Skrastins";33;2,4;60;2;3;-11;5
"476";"G";"Karri Ramo";21;0,39;22;0;1;0;1
"477";"C";"Keith Aucoin";29;0,22;38;5;8;3;13
"478";"D";"Keith Ballard";25;2,05;82;6;15;7;21
"479";"D";"Keith Carney";37;2,1;61;1;10;8;11
"480";"LW";"Keith Tkachuk";35;3,5;79;27;31;-2;58
"481";"D";"Keith Yandle";21;0,53;43;5;7;-12;12
"482";"D";"Ken Klee";36;1,25;72;1;9;-5;10
"483";"D";"Kent Huskins";28;0,6;76;4;15;23;19
"484";"D";"Kevin Bieksa";26;0,55;34;2;10;-11;12
"485";"D";"Kevin Dallman";26;0,49;34;3;4;4;7
"486";"C";"Kevin Doell";28;0,05;8;0;1;-2;1
"487";"D";"Kevin Klein";23;0,5;13;0;2;-3;2
"488";"G";"Kevin Weekes";32;0,68;9;0;0;0;0
"489";"C";"Kevyn Adams";33;0,65;27;0;2;-7;2
"490";"D";"Kim Johnsson";31;4,8;80;4;23;-4;27
"491";"D";"Kimmo Timonen";32;8;80;8;36;0;44
"492";"LW";"Kip Brennan";27;0,01;3;0;0;0;0
"493";"LW";"Kirk Maltby";35;0,95;61;6;4;-8;10
"494";"C";"Kris Beech";26;0,46;25;6;5;3;11
"495";"C";"Kris Draper";36;2,13;65;9;8;-2;17
"496";"D";"Kris Letang";20;0,65;63;6;11;-1;17
"497";"C";"Kris Newbury";25;0,17;28;1;1;-7;2
"498";"D";"Kris Russell";20;0,75;67;2;8;-12;10
"499";"LW";"Kris Versteeg";21;0,1;13;2;2;-1;4
"500";"LW";"Kristian Huselius";29;1,4;81;25;41;10;66
"501";"RW";"Krys Barch";27;0,48;48;1;2;-3;3
"502";"D";"Kurt Sauer";26;0,72;54;1;5;17;6
"503";"D";"Kurtis Foster";26;1,02;56;7;12;0;19
"504";"C";"Kyle Brodziak";23;0,5;80;14;17;-6;31
"505";"LW";"Kyle Calder";28;2,7;65;7;13;-11;20
"506";"D";"Kyle Cumiskey";21;0,5;38;0;5;-3;5
"507";"C";"Kyle Chipchura";21;0,49;36;4;7;-1;11
"508";"LW";"Kyle Greentree";24;0,02;2;0;0;-1;0
"509";"D";"Kyle McLaren";30;2,5;61;3;8;3;11
"510";"RW";"Kyle Okposo";19;0,17;9;2;3;3;5
"511";"D";"Kyle Quincey";22;0,1;6;0;0;-3;0
"512";"C";"Kyle Turris";18;0,09;3;0;1;-5;1
"513";"RW";"Kyle Wanvig";26;0,06;7;1;0;-1;1
"514";"C";"Kyle Wellwood";24;0,95;59;8;13;-12;21
"515";"LW";"Ladislav Nagy";28;3,75;38;9;17;-2;26
"516";"D";"Ladislav Smid";21;0,62;65;0;4;-15;4
"517";"D";"Lasse Kukkonen";26;0,85;53;1;4;3;5
"518";"RW";"Lauri Tukonen";21;0,02;1;0;0;0;0
"519";"D";"Lawrence Nycholat";28;0,02;3;0;0;1;0
"520";"RW";"Lee Stempniak";24;1,5;80;13;25;0;38
"521";"LW";"Liam Reddox";21;0,02;1;0;0;-1;0
"522";"LW";"Loui Eriksson";22;0,7;69;14;17;5;31
"523";"D";"Lubomir Visnovsky";31;2,05;82;8;33;-18;41
"524";"D";"Luc Bourdon";20;0,58;27;2;0;7;2
"525";"LW";"Lukas Kaspar";22;0,06;3;0;0;-2;0
"526";"D";"Lukas Krajicek";24;1,1;39;2;9;-3;11
"527";"D";"Luke Richardson";38;0,5;76;2;7;1;9
"528";"D";"Magnus Johansson";34;0,7;45;0;14;-5;14
"529";"G";"Manny Fernandez";33;4,5;4;0;0;0;0
"530";"G";"Manny Legace";34;1,8;66;0;2;0;2
"531";"C";"Manny Malhotra";27;1,2;71;11;18;-2;29
"532";"D";"Marc-Andre Bergeron";27;1,2;55;9;10;-16;19
"533";"G";"Marc-Andre Fleury";23;1,6;35;0;1;0;1
"534";"D";"Marc-Andre Gragnani";20;0,02;2;0;0;-2;0
"535";"D";"Marc-Edouard Vlasic";20;1,08;82;2;12;-12;14
"536";"G";"Marc Denis";30;1,38;10;0;0;0;0
"537";"D";"Marc Methot";22;0,13;9;0;0;-1;0
"538";"C";"Marc Pouliot";22;0,32;24;1;6;-1;7
"539";"C";"Marc Savard";30;5;74;15;63;3;78
"540";"D";"Marc Staal";20;0,85;80;2;8;2;10
"541";"C";"Marcel Goc";24;0,8;51;5;3;-15;8
"542";"LW";"Marcel Hossa";26;0,78;50;1;7;2;8
"543";"LW";"Marco Sturm";29;3,5;80;27;29;11;56
"544";"C";"Marcus Nilson";29;1;47;3;2;2;5
"545";"D";"Marek Malik";32;2,5;42;2;8;7;10
"546";"G";"Marek Schwarz";21;0,1;2;0;0;0;0
"547";"RW";"Marek Svatos";25;1,2;62;26;11;13;37
"548";"D";"Marek Zidlicky";30;3,2;79;5;38;-5;43
"549";"RW";"Marian Gaborik";25;6,5;77;42;41;17;83
"550";"RW";"Marian Hossa";28;7;72;29;37;-14;66
"551";"LW";"Mark Bell";27;2;35;4;6;-2;10
"552";"D";"Mark Eaton";30;1,6;36;0;3;6;3
"553";"D";"Mark Fistric";21;0,44;37;0;2;3;2
"554";"C";"Mark Hartigan";30;0,17;23;3;1;-2;4
"555";"RW";"Mark Mowers";33;0,14;17;1;0;0;1
"556";"RW";"Mark Parrish";30;2,65;66;16;14;2;30
"557";"D";"Mark Popovic";25;0,54;33;0;2;-4;2
"558";"RW";"Mark Recchi";39;1,75;72;14;34;-18;48
"559";"C";"Mark Smith";30;0,49;54;1;3;-6;4
"560";"D";"Mark Streit";30;0,6;81;13;49;-6;62
"561";"D";"Mark Stuart";23;1,58;82;4;4;2;8
"562";"LW";"Markus Naslund";34;6;82;25;30;-7;55
"563";"G";"Martin Biron";30;3,5;62;0;1;0;1
"564";"G";"Martin Brodeur";35;5,2;77;0;4;0;4
"565";"LW";"Martin Erat";26;1,75;76;23;34;-3;57
"566";"LW";"Martin Gelinas";37;1,25;57;9;11;5;20
"567";"G";"Martin Gerber";33;3,7;57;0;2;0;2
"568";"LW";"Martin Hanzal";20;0,98;72;8;27;-7;35
"569";"LW";"Martin Havlat";26;6;35;10;17;4;27
"570";"RW";"Martin Lapointe";34;2,4;70;6;7;-5;13
"571";"D";"Martin Lojek";22;0,02;2;0;0;-1;0
"572";"LW";"Martin Rucinsky";36;3;40;5;11;-9;16
"573";"D";"Martin Skoula";28;1,7;80;3;8;-16;11
"574";"RW";"Martin St. Louis";32;6;82;25;58;-23;83
"575";"C";"Martin St. Pierre";24;0,04;5;0;0;-3;0
"576";"C";"Martin Straka";35;3,3;65;14;27;5;41
"577";"C";"Marty Reasoner";30;0,95;82;11;14;-17;25
"578";"G";"Marty Turco";32;5,7;62;0;3;0;3
"579";"LW";"Mason Raymond";22;0,66;49;9;12;1;21
"580";"LW";"Mathias Tjarnqvist";28;0,48;78;4;7;-1;11
"581";"D";"Mathieu Dandenault";31;1,75;61;9;5;-11;14
"582";"LW";"Mathieu Darche";31;0,46;73;7;15;-14;22
"583";"G";"Mathieu Garon";29;1,2;47;0;0;0;0
"584";"D";"Mathieu Roy";24;0,33;13;0;1;0;1
"585";"D";"Mathieu Schneider";38;5,5;65;12;27;22;39
"586";"C";"Mats Sundin";36;5,5;74;32;46;17;78
"587";"RW";"Matt Bradley";29;0,7;77;7;11;1;18
"588";"D";"Matt Carle";23;1,37;62;2;13;-8;15
"589";"LW";"Matt Cooke";29;1,52;78;10;13;1;23
"590";"C";"Matt Cullen";31;2,8;59;13;36;2;49
"591";"RW";"Matt D'Agostini";21;0;1;0;0;0;0
"592";"C";"Matt Ellis";26;0,48;54;3;5;3;8
"593";"RW";"Matt Foy";24;0,51;28;4;4;-1;8
"594";"D";"Matt Greene";24;1,05;46;0;1;-3;1
"595";"D";"Matt Hunwick";22;0,17;13;0;1;-1;1
"596";"D";"Matt Jones";24;0,52;45;0;2;-13;2
"597";"G";"Matt Keetley";21;0,1;1;0;0;0;0
"598";"RW";"Matt Keith";24;0,01;3;0;0;-1;0
"599";"D";"Matt Lashoff";21;0,19;18;1;4;-2;5
"600";"LW";"Matt Moulson";24;0,12;22;5;4;2;9
"601";"C";"Matt Murley";28;0,03;3;0;1;1;1
"602";"D";"Matt Niskanen";21;0,85;78;7;19;22;26
"603";"LW";"Matt Pettinger";27;1;76;6;7;-11;13
"604";"D";"Matt Smaby";23;0,24;14;0;0;-6;0
"605";"C";"Matt Stajan";24;0,95;82;16;17;-11;33
"606";"D";"Matt Walker";27;0,6;43;1;1;-3;2
"607";"C";"Matthew Lombardi";25;1,55;82;14;22;-6;36
"608";"D";"Matthew Spiller";24;0,02;9;0;1;-2;1
"609";"D";"Mattias Norstrom";35;4,25;66;2;11;3;13
"610";"D";"Mattias Ohlund";31;3,38;53;9;15;-1;24
"611";"C";"Mattias Ritola";20;0;2;0;1;0;1
"612";"C";"Max Talbot";23;0,65;63;12;14;8;26
"613";"RW";"Maxim Afinogenov";28;3,5;56;10;18;-16;28
"614";"D";"Maxim Kondratiev";24;0,1;4;0;0;-2;0
"615";"C";"Maxim Lapierre";22;0,39;53;7;11;5;18
"616";"D";"Micki DuPont";27;0,02;2;0;0;1;0
"617";"G";"Michael Leighton";26;0,05;3;0;0;0;0
"618";"C";"Michael Nylander";35;5,5;40;11;26;-19;37
"619";"C";"Michael Peca";33;1,92;65;8;26;-1;34
"620";"C";"Michael Ryan";27;0,48;46;4;4;-4;8
"621";"RW";"Michael Ryder";27;2,95;70;14;17;-4;31
"622";"C";"Michal Handzus";30;4;82;7;14;-21;21
"623";"D";"Michal Rozsival";29;2,3;80;13;25;0;38
"624";"LW";"Michel Ouellet";25;1,2;64;17;19;11;36
"625";"G";"Miikka Kiprusoff";31;3,6;76;0;2;0;2
"626";"RW";"Mikael Samuelsson";31;1,2;73;11;29;21;40
"627";"G";"Mikael Tellqvist";28;0,8;22;0;1;0;1
"628";"RW";"Mike Blunden";21;0,02;1;0;0;-1;0
"629";"RW";"Mike Brown";22;0,17;19;1;0;-2;1
"630";"C";"Mike Cammalleri";25;3,1;63;19;28;-16;47
"631";"D";"Mike Commodore";28;1,3;67;3;11;-7;14
"632";"C";"Mike Comrie";27;3,38;76;21;28;-21;49
"633";"C";"Mike Fisher";27;1,5;79;23;24;-10;47
"634";"D";"Mike Funk";21;0,03;4;0;0;-3;0
"635";"RW";"Mike Glumac";27;0,02;4;0;0;-1;0
"636";"D";"Mike Green";22;0,85;82;18;38;6;56
"637";"RW";"Mike Grier";32;1,77;78;9;13;-8;22
"638";"C";"Mike Iggulden";25;0;1;0;0;-1;0
"639";"RW";"Mike Johnson";33;0,75;21;2;3;-4;5
"640";"RW";"Mike Knuble";35;2,8;82;29;26;-3;55
"641";"D";"Mike Komisarek";25;1,5;75;4;13;9;17
"642";"D";"Mike Lundin";23;0,64;81;0;6;3;6
"643";"C";"Mike Modano";37;4,25;82;21;36;-11;57
"644";"D";"Mike Mottau";29;0,48;76;4;13;-11;17
"645";"C";"Mike Ribeiro";27;2,8;76;27;56;21;83
"646";"C";"Mike Richards";22;0,94;73;28;47;14;75
"647";"RW";"Mike Rupp";27;0,5;64;3;6;-8;9
"648";"C";"Mike Sillinger";36;2,2;52;14;12;-10;26
"649";"G";"Mike Smith";25;0,95;34;0;1;0;1
"650";"D";"Mike Van Ryn";28;3,2;20;0;2;-2;2
"651";"D";"Mike Weaver";29;0,6;55;0;1;1;1
"652";"D";"Mike Weber";20;0,13;16;0;3;12;3
"653";"LW";"Mike York";29;1;63;6;8;-8;14
"654";"C";"Mike Zigomanis";26;0,44;33;2;1;-7;3
"655";"C";"Mikhail Grabovski";23;0,4;24;3;6;-4;9
"656";"C";"Mikko Koivu";24;2,7;57;11;31;13;42
"657";"RW";"Milan Hejduk";31;4;77;29;25;8;54
"658";"D";"Milan Jurcina";24;0,85;75;1;8;4;9
"659";"LW";"Milan Lucic";19;0,85;77;8;19;-2;27
"660";"LW";"Milan Michalek";23;0,94;79;24;31;19;55
"661";"RW";"Miroslav Satan";33;4,5;80;16;25;-11;41
"662";"D";"Nate Guenin";25;0,05;2;0;0;2;0
"663";"C";"Nathan Horton";22;3;82;27;35;15;62
"664";"D";"Nathan McIver";22;0,15;17;0;0;-8;0
"665";"D";"Nathan Paetsch";24;0,7;59;2;7;3;9
"666";"C";"Nathan Smith";25;0,08;13;0;0;0;0
"667";"D";"Nick Boynton";28;2,9;79;3;9;-9;12
"668";"LW";"Nick Foligno";20;0,56;45;6;3;0;9
"669";"D";"Nick Schultz";25;1,85;81;2;13;9;15
"670";"C";"Nick Tarnasky";23;0,5;80;6;4;-15;10
"671";"C";"Nicklas Backstrom";20;2,4;82;14;55;13;69
"672";"RW";"Nicklas Bergfors";20;0,06;1;0;0;-1;0
"673";"D";"Nicklas Lidstrom";37;7,6;76;10;60;40;70
"674";"D";"Niclas Havelid";34;2,7;81;1;13;2;14
"675";"D";"Niclas Wallin";32;1,73;66;2;6;-18;8
"676";"LW";"Nigel Dawes";22;0,36;61;14;15;11;29
"677";"C";"Nik Antropov";27;1,87;72;26;30;10;56
"678";"G";"Niklas Backstrom";29;3,1;58;0;0;0;0
"679";"D";"Niklas Grossman";22;0,51;62;0;7;10;7
"680";"LW";"Niklas Hagman";28;0,68;82;27;14;4;41
"681";"D";"Niklas Hjalmarsson";20;0,13;13;0;1;-2;1
"682";"D";"Niklas Kronwall";26;1,5;65;7;28;25;35
"683";"C";"Niko Kapanen";29;0,9;79;10;18;-1;28
"684";"G";"Nikolai Khabibulin";34;6,75;50;0;2;0;2
"685";"LW";"Nikolai Zherdev";23;2,5;82;26;35;-9;61
"686";"LW";"Noah Clarke";28;0,01;1;1;0;0;1
"687";"D";"Noah Welch";25;0,55;4;0;0;1;0
"688";"D";"Nolan Pratt";32;0,46;55;1;6;1;7
"689";"G";"Olaf Kolzig";37;5,45;54;0;2;0;2
"690";"D";"Ole-Kristian Tollefsen";23;0,6;51;2;2;-3;4
"691";"C";"Olli Jokinen";29;5,25;82;34;37;-19;71
"692";"D";"Olli Malmivaara";25;0,01;2;0;0;2;0
"693";"G";"Ondrej Pavelec";20;0,33;7;0;0;0;0
"694";"RW";"Owen Nolan";35;1,75;77;16;16;6;32
"695";"LW";"P.J. Axelsson";32;1,85;75;13;16;11;29
"696";"LW";"Pascal Dupuis";28;0,88;78;12;15;0;27
"697";"G";"Pascal Leclaire";25;1,4;54;0;2;0;2
"698";"C";"Pascal Pelletier";24;0,04;6;0;0;-2;0
"699";"LW";"Pat Rissmiller";29;0,6;79;8;9;-8;17
"700";"C";"Patrice Bergeron";22;5;10;3;4;2;7
"701";"D";"Patrice Brisebois";36;1,4;43;3;8;-2;11
"702";"RW";"Patrick Eaves";23;0,94;37;5;10;-2;15
"703";"RW";"Patrick Kaleta";21;0,22;40;3;2;1;5
"704";"RW";"Patrick Kane";19;3,73;82;21;51;-5;72
"705";"G";"Patrick Lalime";33;0,95;32;0;0;0;0
"706";"LW";"Patrick Marleau";28;4,5;78;19;29;-19;48
"707";"LW";"Patrick O'Sullivan";22;0,85;82;22;31;-8;53
"708";"C";"Patrick Sharp";26;0,82;80;36;26;23;62
"709";"LW";"Patrick Thoresen";24;0,39;38;2;6;-10;8
"710";"C";"Patrik Elias";31;7,5;74;20;35;10;55
"711";"C";"Paul Gaustad";25;0,75;82;10;26;-4;36
"712";"LW";"Paul Kariya";33;6;82;16;49;-10;65
"713";"D";"Paul Mara";28;3;61;1;16;1;17
"714";"D";"Paul Martin";26;3;73;5;27;20;32
"715";"D";"Paul Ranger";23;0,75;72;10;21;-13;31
"716";"C";"Paul Stastny";22;0,85;66;24;47;22;71
"717";"C";"Pavel Datsyuk";29;6,7;82;31;66;41;97
"718";"D";"Pavel Kubina";30;5;72;11;29;5;40
"719";"C";"Pavol Demitra";33;4,5;68;15;39;9;54
"720";"G";"Pekka Rinne";25;0,04;1;0;0;0;0
"721";"G";"Peter Budaj";25;0,7;35;0;1;0;1
"722";"C";"Peter Forsberg";34;1,12;9;1;13;7;14
"723";"D";"Peter Harrold";24;0,16;25;2;3;3;5
"724";"C";"Peter Mueller";19;1,7;81;22;32;-13;54
"725";"LW";"Peter Schaefer";30;2,1;63;9;17;4;26
"726";"LW";"Peter Vandermeer";32;0,02;2;0;0;0;0
"727";"RW";"Petr Prucha";25;1,6;62;7;10;3;17
"728";"RW";"Petr Sykora";31;2,5;81;28;35;1;63
"729";"C";"Petri Kontiola";23;0,11;12;0;5;5;5
"730";"C";"Petteri Nokelainen";21;0,87;57;7;3;0;10
"731";"D";"Petteri Nummelin";35;1,2;27;2;7;-2;9
"732";"C";"Petteri Wirtanen";21;0,03;3;1;0;1;1
"733";"RW";"Phil Kessel";20;2,2;82;19;18;-6;37
"734";"D";"Philippe Boucher";34;2,5;38;2;12;3;14
"735";"C";"Pierre-Marc Bouchard";23;2,6;81;13;50;11;63
"736";"LW";"Quintin Laing";28;0,33;39;1;5;4;6
"737";"C";"R.J. Umberger";25;1,25;74;13;37;0;50
"738";"C";"Radek Bonk";31;1,35;79;14;15;-31;29
"739";"RW";"Radek Dvorak";30;1,5;67;8;9;-1;17
"740";"D";"Radek Martinek";31;0,7;69;0;15;-9;15
"741";"RW";"Radim Vrbata";26;1,23;76;27;29;6;56
"742";"LW";"Raffi Torres";26;1,6;32;5;6;-4;11
"743";"LW";"Raitis Ivanans";28;0,48;73;6;2;-10;8
"744";"D";"Randy Jones";26;0,51;71;5;26;8;31
"745";"C";"Randy Robitaille";32;0,58;68;10;19;4;29
"746";"G";"Ray Emery";25;2,75;31;0;0;0;0
"747";"LW";"Ray Whitney";35;3,55;66;25;36;-6;61
"748";"LW";"Rene Bourque";26;0,9;62;10;14;6;24
"749";"D";"Rhett Warrener";31;2,5;31;1;3;-2;4
"750";"G";"Rick DiPietro";26;4,5;63;0;6;0;6
"751";"RW";"Rick Nash";23;5,5;80;38;31;3;69
"752";"C";"Rick Rypien";23;0,24;22;1;2;-5;3
"753";"C";"Rich Peverley";25;0,18;33;5;5;4;10
"754";"RW";"Richard Park";31;0,48;82;12;20;-4;32
"755";"LW";"Richard Zednik";31;1,5;54;15;11;-5;26
"756";"LW";"Riley Cote";25;0,48;70;1;3;2;4
"757";"D";"Rob Blake";38;6;71;9;22;-19;31
"758";"D";"Rob Davison";27;0,52;34;1;1;-6;2
"759";"RW";"Rob Globke";25;0,07;9;0;0;-3;0
"760";"C";"Rob Niedermayer";33;2;78;8;8;1;16
"761";"D";"Rob Scuderi";29;0,7;71;0;5;3;5
"762";"C";"Rob Schremp";21;0,02;2;0;0;-1;0
"763";"LW";"Robbie Earl";22;0,07;9;0;1;-2;1
"764";"C";"Robert Lang";37;4;76;21;33;9;54
"765";"RW";"Robert Nilsson";22;0,92;71;10;31;8;41
"766";"G";"Roberto Luongo";28;6,5;73;0;3;0;3
"767";"D";"Robyn Regehr";27;2,28;82;5;15;11;20
"768";"C";"Rod Brind'Amour";37;4;59;19;32;0;51
"769";"C";"Rod Pelley";23;0,46;58;2;4;-3;6
"770";"D";"Roman Hamrlik";33;5,5;77;5;21;7;26
"771";"D";"Roman Polak";21;0,06;6;0;1;1;1
"772";"D";"Ron Hainsey";26;0,9;78;8;24;-7;32
"773";"D";"Rory Fitzpatrick";32;0,41;19;0;1;-12;1
"774";"D";"Rostislav Klesla";25;1,45;82;6;12;7;18
"775";"C";"Rostislav Olesz";22;0,98;56;14;12;3;26
"776";"LW";"Ruslan Fedotenko";28;2,9;67;16;17;-9;33
"777";"D";"Ruslan Salei";33;3,02;82;6;24;-4;30
"778";"LW";"Ryan Bayda";27;0,2;31;3;3;-2;6
"779";"D";"Ryan Caldwell";26;0,01;2;0;0;0;0
"780";"RW";"Ryan Callahan";22;0,5;52;8;5;7;13
"781";"C";"Ryan Carter";24;0,57;34;4;4;-2;8
"782";"LW";"Ryan Craig";25;0,85;7;1;1;-1;2
"783";"C";"Ryan Getzlaf";22;0,74;77;24;58;32;82
"784";"LW";"Ryan Hollweg";24;0,5;70;2;2;-12;4
"785";"C";"Ryan Johnson";31;0,8;79;5;13;-2;18
"786";"C";"Ryan Kesler";23;1,75;80;21;16;1;37
"787";"LW";"Ryan Malone";28;1,45;77;27;24;14;51
"788";"G";"Ryan Miller";27;2,5;76;0;1;0;1
"789";"D";"Ryan O'Byrne";23;0,4;33;1;6;7;7
"790";"D";"Ryan Parent";20;0,25;22;0;0;-4;0
"791";"C";"Ryan Potulny";23;0,04;7;0;1;0;1
"792";"RW";"Ryan Shannon";24;0,19;27;5;8;-1;13
"793";"LW";"Ryan Smyth";31;7,5;55;14;23;-4;37
"794";"C";"Ryan Stone";22;0,14;6;0;1;-1;1
"795";"D";"Ryan Suter";22;0,94;76;7;24;3;31
"796";"D";"Ryan Whitney";24;2,5;76;12;28;-2;40
"797";"LW";"Ryane Clowe";25;0,6;15;3;5;-1;8
"798";"C";"Saku Koivu";33;4,75;77;16;40;-4;56
"799";"C";"Sam Gagner";18;1,62;79;13;36;-21;49
"800";"RW";"Sami Kapanen";34;1,25;74;5;3;-12;8
"801";"D";"Sami Lepisto";23;0,08;7;0;1;-1;1
"802";"D";"Sami Salo";33;3;63;8;17;8;25
"803";"C";"Samuel Pahlsson";30;1,4;56;6;9;-2;15
"804";"D";"Sandis Ozolinsh";35;0,52;39;3;13;-11;16
"805";"G";"Scott Clemmensen";30;0,04;3;0;0;0;0
"806";"C";"Scott Gomez";28;10;81;16;54;3;70
"807";"D";"Scott Hannan";28;4,5;82;2;19;-5;21
"808";"RW";"Scott Hartnell";25;5,09;80;24;19;2;43
"809";"C";"Scott Nichol";33;0,71;73;10;8;12;18
"810";"D";"Scott Niedermayer";34;4,12;48;8;17;-2;25
"811";"RW";"Scott Parker";29;0,48;25;0;0;0;0
"812";"LW";"Scott Thornton";36;1,5;47;5;3;1;8
"813";"RW";"Scott Walker";34;2,47;58;14;18;-3;32
"814";"LW";"Scottie Upshall";24;1,2;61;14;16;2;30
"815";"LW";"Sean Avery";27;1,9;57;15;18;6;33
"816";"LW";"Sean Bergenheim";23;0,5;78;10;12;-3;22
"817";"D";"Sean Hill";37;0,99;35;2;7;-16;9
"818";"D";"Sean O'Donnell";36;1,25;82;2;7;9;9
"819";"C";"Sergei Brylin";33;1,52;82;6;10;-5;16
"820";"C";"Sergei Fedorov";38;6,08;68;11;30;-5;41
"821";"D";"Sergei Gonchar";33;5,5;78;12;53;13;65
"822";"RW";"Sergei Kostitsyn";20;0,51;52;9;18;9;27
"823";"LW";"Sergei Samsonov";29;3,52;61;14;22;-1;36
"824";"D";"Sergei Zubov";37;4;46;4;31;6;35
"825";"RW";"Shane Doan";31;4,55;80;28;50;4;78
"826";"D";"Shane Hnidy";32;0,76;76;2;6;-2;8
"827";"D";"Shane O'Brien";24;0,88;77;4;17;-2;21
"828";"D";"Shaone Morrisonn";25;0,9;76;1;9;4;10
"829";"C";"Shawn Bates";32;1,2;2;0;0;-2;0
"830";"C";"Shawn Horcoff";29;3,6;53;21;29;1;50
"831";"C";"Shawn Matthias";19;0,03;4;2;0;-2;2
"832";"LW";"Shawn Thornton";30;0,5;58;4;3;-1;7
"833";"D";"Shea Weber";22;0,48;54;6;14;-6;20
"834";"RW";"Shean Donovan";32;0,92;82;5;7;-3;12
"835";"D";"Sheldon Brookbank";27;0,5;44;0;8;0;8
"836";"D";"Sheldon Souray";31;6,25;26;3;7;-7;10
"837";"C";"Sidney Crosby";20;3,7;53;24;48;18;72
"838";"LW";"Simon Gagne";27;5,25;25;7;11;-8;18
"839";"C";"Simon Gamache";26;0,07;11;2;2;-1;4
"840";"LW";"Slava Kozlov";35;3,3;82;17;24;-10;41
"841";"D";"Staffan Kronwall";24;0,11;18;0;0;-2;0
"842";"LW";"Stefan Meyer";22;0,04;4;0;0;-1;0
"843";"RW";"Stefan Ruzicka";22;0,1;14;1;3;5;4
"844";"D";"Stephane Robidas";30;1,5;82;9;17;0;26
"845";"LW";"Stephane Veilleux";26;0,6;77;11;7;-13;18
"846";"C";"Stephane Yelle";33;1,25;74;3;9;-4;12
"847";"G";"Stephen Wagner";30;NA;2;0;1;0;1
"848";"C";"Stephen Weiss";24;1,8;74;13;29;14;42
"849";"LW";"Steve Begin";29;1,23;44;3;5;0;8
"850";"RW";"Steve Bernier";22;1,18;76;16;16;-1;32
"851";"RW";"Steve Downie";20;0,45;32;6;6;2;12
"852";"D";"Steve Eminger";24;1;20;0;2;-4;2
"853";"C";"Steve Kelly";31;0,08;2;0;0;0;0
"854";"D";"Steve McCarthy";26;0,72;55;1;6;-23;7
"855";"D";"Steve Montador";28;0,8;73;8;15;1;23
"856";"LW";"Steve Ott";25;0,8;73;11;11;2;22
"857";"LW";"Steve Regier";23;0,02;8;0;0;-1;0
"858";"C";"Steve Reinprecht";31;2;81;16;30;-3;46
"859";"D";"Steve Staios";34;2,9;82;7;9;-14;16
"860";"G";"Steve Valiquette";30;0,64;13;0;0;0;0
